Tipo,Objetivo Estratégico,AÇÕES ESTRATÉGICAS,Sub-atividade,RESPONSÁVEL,AGU/PGF,DPF,FN,IBAMA,ICMBio,INPE,MCT,MJ,MMA,SIPAM,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2009,AUTORIZADO,EMPENHADO,LIQUIDADO,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2010,AUTORIZADO,EMPENHADO,LIQUIDADO,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2011,AUTORIZADO,EMPENHADO,LIQUIDADO
Ação Estratégica,2.6 - Intensificação Das Operações Integradas de Fiscalização do Desmatamento e Demais Ilícitos Associados,2.6.1.1 Intensificação da fiscalização do desmatamento em polígonos indicados pelos sistemas DETER e ALOS,,IBAMA,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,"2.7 - Proteção Das Unidades de Conservação Federais, Com a Formação Progressiva de 800 Guardas Parque.",2.7.1 Elaboração de Planos de Proteção e formação de guardas parques para a proteção das uc's da Amazônia Legal,,"FN, ICMBio e MMA",#VALUE!,#VALUE!,1,#VALUE!,5,#VALUE!,#VALUE!,#VALUE!,14,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,"2.7 - Proteção Das Unidades de Conservação Federais, Com a Formação Progressiva de 800 Guardas Parque.",2.7.2 Operações de Fiscalização Integradas,,"FN, ICMBio e MMA",#VALUE!,#VALUE!,1,#VALUE!,5,#VALUE!,#VALUE!,#VALUE!,14,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,2.8 - Responsabilização Ambiental (Administrativa e Civil),2.8.1 Agilização dos procedimentos de Cobranças de Multas,,"IBAMA, MMA, AGU/PGF",13,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,8,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,2.8 - Responsabilização Ambiental (Administrativa e Civil),2.8.2 Agilização dos procedimentos de Destinação de Bens Apreendidos,,"IBAMA, MMA, AGU/PGF",13,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,8,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,2.8 - Responsabilização Ambiental (Administrativa e Civil),2.8.3 Sensibilização do Poder Judiciário e Ministério Público quanto às questões afetas ao desmatamento,,"IBAMA, MMA, AGU/PGF",13,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,8,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,2.8 - Responsabilização Ambiental (Administrativa e Civil),2.8.4 Disponibilização de maior número de procuradores nos estados,,"IBAMA, MMA, AGU/PGF",13,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,8,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,2.9 - Apoio À Elaboração do Cadastramento Ambiental Rural - Car Em 15 Municípios Prioritários,2.9.1 Apoio a elaboração e implementação do CAR,,MMA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,2.10 - Implementação do Projeto de Apoio a Descentralização da Gestão Florestal - Procontrole,2.10.1 Fortalecimento da capacidade operativa dos estados e IBAMA na área de comando e controle,,MMA/IBAMA,#VALUE!,#VALUE!,#VALUE!,5,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,0506 - NACIONAL DE FLORESTAS,10TC - ELABORAÇÃO DO INVENTÁRIO FLORESTAL NACIONAL,"R$ 3,300,000.00","R$ 1,074,419.00","R$ 1,074,419.00",0506 - NACIONAL DE FLORESTAS,10TC - ELABORAÇÃO DO INVENTÁRIO FLORESTAL NACIONAL,"R$ 850,000.00","R$ 775,500.00","R$ 775,500.00",0506 - NACIONAL DE FLORESTAS,10TC - ELABORAÇÃO DO INVENTÁRIO FLORESTAL NACIONAL,"R$ 1,050,000.00","R$ 735,032.00","R$ 735,032.00"
Ação Estratégica,2.10 - Implementação do Projeto de Apoio a Descentralização da Gestão Florestal - Procontrole,"2.10.2 Treinamento nos principais elementos da gestão florestal (licenciamento, reposição e manejo florestal, inspeção industrial, autorização de supressão etc.)",,MMA/IBAMA,#VALUE!,#VALUE!,#VALUE!,5,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,,10TD - IMPLANTAÇÃO DO SISTEMA NACIONAL DE INFORMAÇÕES FLORESTAIS,"R$ 1,550,000.00","R$ 265,232.00","R$ 265,232.00",,10TD - IMPLANTAÇÃO DO SISTEMA NACIONAL DE INFORMAÇÕES FLORESTAIS,"R$ 1,400,000.00","R$ 841,090.00","R$ 841,090.00",,10TD - IMPLANTAÇÃO DO SISTEMA NACIONAL DE INFORMAÇÕES FLORESTAIS,"R$ 895,500.00","R$ 403,701.00","R$ 403,701.00"
Ação Estratégica,2.10 - Implementação do Projeto de Apoio a Descentralização da Gestão Florestal - Procontrole,"2.10.3 Implantação e aperfeiçoamento dos sistemas estaduais de controle, fiscalização e monitoramento florestal",,MMA/IBAMA,#VALUE!,#VALUE!,#VALUE!,5,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,,2D12 - PLANEJAMENTO E GESTÃO DAS CONCESSÕES FLORESTAIS,"R$ 9,700,000.00","R$ 4,588,678.00","R$ 4,588,678.00",,2D12 - PLANEJAMENTO E GESTÃO DAS CONCESSÕES FLORESTAIS,"R$ 9,925,000.00","R$ 4,851,574.00","R$ 4,851,574.00",,2D12 - PLANEJAMENTO E GESTÃO DAS CONCESSÕES FLORESTAIS,"R$ 8,000,000.00","R$ 5,542,383.00","R$ 5,542,383.00"
Ação Estratégica,2.10 - Implementação do Projeto de Apoio a Descentralização da Gestão Florestal - Procontrole,2.10.4 Integração e compartilhamento de sistemas de controle de atividades florestais,,MMA/IBAMA,#VALUE!,#VALUE!,#VALUE!,5,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,,8296 - LICENCIAMENTO E CONTROLE DAS ATIVIDADES FLORESTAIS,"R$ 2,555,200.00","R$ 1,428,145.00","R$ 1,428,145.00",,8296 - LICENCIAMENTO E CONTROLE DAS ATIVIDADES FLORESTAIS,"R$ 2,555,200.00","R$ 2,399,756.00","R$ 2,399,756.00",,8296 - LICENCIAMENTO E CONTROLE DAS ATIVIDADES FLORESTAIS,"R$ 2,212,992.00","R$ 1,849,798.00","R$ 1,849,798.00"
Ação Estratégica,2.10 - Implementação do Projeto de Apoio a Descentralização da Gestão Florestal - Procontrole,2.10.5 Desenvolver ações para aumentar a eficácia dos processos de licenciamento da atividade florestal,,MMA/IBAMA,#VALUE!,#VALUE!,#VALUE!,5,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,,2D25 - FUNCIONAMENTO DO SERVIÇO FLORESTAL BRASILEIRO,"R$ 14,407,814.00","R$ 13,384,813.00","R$ 13,384,813.00",,2D25 - FUNCIONAMENTO DO SERVIÇO FLORESTAL BRASILEIRO,"R$ 20,438,971.00","R$ 17,487,558.00","R$ 17,487,558.00",,2D25 - FUNCIONAMENTO DO SERVIÇO FLORESTAL BRASILEIRO,"R$ 20,163,384.00","R$ 16,987,048.00","R$ 16,987,048.00"
Ação Estratégica,2.10 - Implementação do Projeto de Apoio a Descentralização da Gestão Florestal - Procontrole,"2.10.6 Realizar estudos, diagnóstico e avaliações ligadas à gestão florestal",,MMA/IBAMA,#VALUE!,#VALUE!,#VALUE!,5,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,,6035 - PESQUISA E DESENVOLVIMENTO FLORESTAL,"R$ 2,000,000.00","R$ 575,265.00","R$ 575,265.00",,6035 - PESQUISA E DESENVOLVIMENTO FLORESTAL,"R$ 1,600,000.00","R$ 1,192,224.00","R$ 1,192,224.00",,6035 - PESQUISA E DESENVOLVIMENTO FLORESTAL,"R$ 1,462,500.00","R$ 200,918.00","R$ 200,918.00"
Ação Estratégica,2.10 - Implementação do Projeto de Apoio a Descentralização da Gestão Florestal - Procontrole,2.10.7 Apoiar a estruturação da fiscalização ambiental nos Estados,,MMA/IBAMA,#VALUE!,#VALUE!,#VALUE!,5,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,,8294 - ESTRUTURAÇÃO DOS ÓRGÃOS DO SISTEMA NACIONAL DE MEIO AMBIENTE PARA A GESTÃO FLORESTAL COMPARTILHADA,"R$ 5,813,518.00","R$ 1,821,809.00","R$ 1,821,809.00",,8294 - ESTRUTURAÇÃO DOS ÓRGÃOS DO SISTEMA NACIONAL DE MEIO AMBIENTE PARA A GESTÃO FLORESTAL COMPARTILHADA,"R$ 4,096,471.00","R$ 3,108,820.00","R$ 3,108,820.00",,8294 - ESTRUTURAÇÃO DOS ÓRGÃOS DO SISTEMA NACIONAL DE MEIO AMBIENTE PARA A GESTÃO FLORESTAL COMPARTILHADA,"R$ 3,203,825.00","R$ 2,206,789.00","R$ 2,206,789.00"
Ação Estratégica,2.10 - Implementação do Projeto de Apoio a Descentralização da Gestão Florestal - Procontrole,2.10.8 Implantação de instrumento de avaliação e monitoramento da gestão florestal,,MMA/IBAMA,#VALUE!,#VALUE!,#VALUE!,5,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,2.10 - Implementação do Projeto de Apoio a Descentralização da Gestão Florestal - Procontrole,2.10.9 Promover a Gestão Compartilhada do Projeto entre a União e Estados no desenvolvimento de ações comuns e cooperação horizontal para aperfeiçoamento do projeto,,MMA/IBAMA,#VALUE!,#VALUE!,#VALUE!,5,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,2.11 - Fortalecimento dos Batalhões Ambientais da Polícia Militar Nos Estados da Amazônia Legal para o Combate ao Crime Ambeintal,,2.11.1 Celebrar Convênio para criação/fortaleciemento dos Batalhões Ambientais das Polícias Militares,MMA e MJ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,7,1,#VALUE!,,,,,,,,,,,,,,,
