OBJETIVO ESTRATÉGICO,AÇÕES ESTRATÉGICAS,COORDENAÇÃO,FUNAI,INCRA,MC,MCT,MDA,MI,MJ,MMA,FONTE DE RECURSO,PROGRAMA NO PPA 2004-2007,AÇÃO NA LOA 2007,AUTORIZADO,EMPENHADO,LIQUIDADO,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2008,AUTORIZADO,EMPENHADO,LIQUIDADO
1.4 Implementação da Política de Reforma Agrária para a Amazônia Legal,1.4.3 Apoio creditício para famílias assentadas,"MDA, MMA",#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,6,,,,,,,,,,,
1.4 Implementação da Política de Reforma Agrária para a Amazônia Legal,1.4.4 Implantação de infra-estrutura produtiva e social,"MDA, MMA",#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,6,,,,,,,,,,,
1.4 Implementação da Política de Reforma Agrária para a Amazônia Legal,1.4.5 GESTAR na área de influência das BR 163 e 158,"MDA, MMA",#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,6,OGU/CEE – OGU/FAO,,,,,,,,,,
1.5 Efetivação da criação das unidades de conservação de uso sustentável ,,MMA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,Programa Áreas Protegidas do Brasil (0499) – Ação Criação de unidades de conservação federais (4986) e Projeto ARPA,0499 - AREAS PROTEGIDAS DO BRASIL,0884 - APOIO À CRIAÇÃO E GESTÃO DE UNIDADES DE CONSERVAÇÃO,"R$ 7,043,278.00","R$ 4,347,701.00","R$ 4,347,701.00",1332 - CONSERVAÇÃO E RECUPERAÇÃO DOS BIOMAS BRASILEIROS,8492 - APOIO À CRIAÇÃO E GESTÃO DE ÁREAS PROTEGIDAS,"R$ 35,917,781.00","R$ 7,514,748.00","R$ 7,514,748.00"
1.6 Efetivação da criação das unidades de conservação de proteção integral,,MMA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,Programa Áreas Protegidas do Brasil (0499) – Ação Criação de unidades de conservação federais (4986) e Projeto ARPA,0499 - AREAS PROTEGIDAS DO BRASIL,0B84 - APOIO À CAPACITAÇÃO PARA A GESTÃO DE ÁREAS PROTEGIDAS,"R$ 160,000.00","R$ 126,522.00","R$ 126,522.00",1332 - CONSERVAÇÃO E RECUPERAÇÃO DOS BIOMAS BRASILEIROS,8951 - DEFINIÇÃO DE MECANISMOS DE RETRIBUIÇÃO POR SERVIÇOS AMBIENTAIS,"R$ 250,000.00","R$ 249,752.00","R$ 249,752.00"
1.6 Efetivação da criação das unidades de conservação de proteção integral,,MMA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,Programa Áreas Protegidas do Brasil (0499) – Ação Criação de unidades de conservação federais (4986) e Projeto ARPA,0499 - AREAS PROTEGIDAS DO BRASIL,101V - IMPLANTAÇÃO DE CORREDORES ECOLÓGICOS,"R$ 21,840,008.00","R$ 11,654,684.00","R$ 11,654,684.00",1332 - CONSERVAÇÃO E RECUPERAÇÃO DOS BIOMAS BRASILEIROS,101V - IMPLANTAÇÃO DE CORREDORES ECOLÓGICOS,"R$ 24,103,008.00","R$ 6,440,476.00","R$ 6,440,476.00"
1.6 Efetivação da criação das unidades de conservação de proteção integral,,MMA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,Programa Áreas Protegidas do Brasil (0499) – Ação Criação de unidades de conservação federais (4986) e Projeto ARPA,0499 - AREAS PROTEGIDAS DO BRASIL,2C93 - GESTÃO DE ÁREAS PROTEGIDAS NO ECOSSISTEMA AMAZÔNICO,"R$ 4,018,000.00","R$ 3,918,023.00","R$ 3,915,356.00",1332 - CONSERVAÇÃO E RECUPERAÇÃO DOS BIOMAS BRASILEIROS,2C93 - GESTÃO DE ÁREAS PROTEGIDAS NO ECOSSISTEMA AMAZÔNICO,"R$ 4,572,715.00","R$ 4,360,569.00","R$ 4,360,569.00"
1.6 Efetivação da criação das unidades de conservação de proteção integral,,MMA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,Programa Áreas Protegidas do Brasil (0499) – Ação Criação de unidades de conservação federais (4986) e Projeto ARPA,0499 - AREAS PROTEGIDAS DO BRASIL,6381 - REGULARIZAÇÃO FUNDIÁRIA DAS UNIDADES DE CONSERVAÇÃO FEDERAIS,"R$ 295,000.00","R$ 80,870.00","R$ 80,870.00",1332 - CONSERVAÇÃO E RECUPERAÇÃO DOS BIOMAS BRASILEIROS,6381 - REGULARIZAÇÃO FUNDIÁRIA DAS UNIDADES DE CONSERVAÇÃO FEDERAIS,"R$ 7,015,000.00","R$ 2,356,736.00","R$ 2,356,736.00"
1.6 Efetivação da criação das unidades de conservação de proteção integral,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,2E19 - APOIO AO COMBATE AO CRIME AMBIENTAL EM ÁREAS PROTEGIDAS,"R$ 350,000.00",R$ 0.00,R$ 0.00
1.7 Desenvolvimento de modelos de uso da terra,,MCT,#VALUE!,#VALUE!,1,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"Ação 6255 – Desenvolvimento de métodos, modelos e geoinformação para gestão ambiental – GEOMA, do Programa Ciência, Natureza e Sociedade.","1122 - CIENCIA, NATUREZA E SOCIEDADE","6255 - PESQUISA E DESENVOLVIMENTO DE MÉTODOS, MODELOS E GEOINFORMAÇÃO PARA A GESTÃO AMBIENTAL - GEOMA","R$ 297,700.00","R$ 270,738.00","R$ 270,738.00","1122 - CIÊNCIA, TECNOLOGIA E INOVAÇÃO APLICADAS AOS RECURSOS NATURAIS","6255 - PESQUISA E DESENVOLVIMENTO DE MÉTODOS, MODELOS E GEOINFORMAÇÃO PARA A GESTÃO AMBIENTAL - GEOMA","R$ 266,293.00",R$ 0.00,R$ 0.00
1.7 Desenvolvimento de modelos de uso da terra,,MCT,#VALUE!,#VALUE!,1,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,"1122 - CIÊNCIA, TECNOLOGIA E INOVAÇÃO APLICADAS AOS RECURSOS NATURAIS","4135 - DESENVOLVIMENTO DE PESQUISAS SOBRE
O CLIMA E OS CICLOS BIOGEOQUÍMICOS DOS ECOSSISTEMAS AMAZÔNICOS (LBA","R$ 3,168,900.00","R$ 3,168,900.00","R$ 3,168,900.00"
1.7 Desenvolvimento de modelos de uso da terra,,MCT,#VALUE!,#VALUE!,1,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,"1122 - CIÊNCIA, TECNOLOGIA E INOVAÇÃO APLICADAS AOS RECURSOS NATURAIS",6258 - PESQUISA E DESENVOLVIMENTO DE PROJETOS CIENTÍFICOS E TECNOLÓGICOS DO PROGRAMA-PILOTO PARA PROTEÇÃO DAS FLORESTAS TROPICAIS,"R$ 2,191,740.00","R$ 1,019,173.00","R$ 1,019,173.00"
1.8 Implementação de projetos de gestão ambiental integrada,,MMA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,MMA/SCA/SPRN,,,,,,,,,,
