OBJETIVO ESTRATÉGICO,AÇÃO ESTRATÉGICA,COORDENAÇÃO,MMA,MF,CC,MCT,MAPA,MDIC,MF,FONTE DE RECURSO,PROGRAMA NO PPA 2004-2007,AÇÃO NA LOA 2007,AUTORIZADO,EMPENHADO,LIQUIDADO,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2008,AUTORIZADO,EMPENHADO,LIQUIDADO
3.6 Apoio às comunidades extrativistas e indígenas ,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,0172 - CULTURA AFRO-BRASILEIRA,6621 - ETNODESENVOLVIMENTO DAS COMUNIDADES REMANESCENTES DE QUILOMBO,"R$ 10,649,294.00","R$ 10,649,294.00","R$ 10,649,294.00",0172 - CULTURA AFRO-BRASILEIRA,6621 - ETNODESENVOLVIMENTO DAS COMUNIDADES REMANESCENTES DE QUILOMBO,"R$ 1,004,294.00","R$ 506,073.00","R$ 506,073.00"
3.7 Fomento ao ecoturismo ,,MMA,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Orçamento da União – PPA,0499 - AREAS PROTEGIDAS DO BRASIL,6068 - CAPACITAÇÃO E DISSEMINAÇÃO DE PRÁTICAS SUSTENTÁVEIS PARA O ECOTURISMO,"R$ 350,000.00","R$ 322,035.00","R$ 322,035.00",,,,,
3.7 Fomento ao ecoturismo ,,MMA,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Orçamento da União – PPA,0512 - ZONEAMENTO ECOLOGICOECONOMICO ,7570 - IMPLANTAÇÃO DE SISTEMA DE INFORMAÇÕES GEORREFERENCIADAS PARA O DESENVOLVIMENTO DO ECOTURISMO,"R$ 200,000.00","R$ 200,000.00","R$ 200,000.00",,,,,
3.8 Implantação e consolidação de Pólos Pioneiros de Produção Familiar Sustentável (Programa Proambiente). ,,MMA,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"PPA - Programa 1270 (Ações 0794, 6088, 6089, 0856)",1270 - PROAMBIENTE,1C12 - IMPLANTAÇÃO DOS PÓLOS DO PROAMBIENTE,"R$ 250,000.00","R$ 225,000.00","R$ 225,000.00","1426 - CONSERVAÇÃO, MANEJO E USO SUSTENTÁVEL DA AGROBIODIVERSIDADE","8450 - FOMENTO ÀS PRÁTICAS DE CONSERVAÇÃO, USO E MANEJO DA AGROBIODIVERSIDADE DESENVOLVIDAS POR AGRICULTORES FAMILIARES, POVOS E COMUNIDADES TRADICIONAIS","R$ 1,000,000.00","R$ 1,000,000.00","R$ 1,000,000.00"
3.8 Implantação e consolidação de Pólos Pioneiros de Produção Familiar Sustentável (Programa Proambiente). ,,MMA,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,2272 - GESTÃO E ADMINISTRAÇÃO DO PROGRAMA,"R$ 1,300,000.00","R$ 1,205,893.00","R$ 1,205,893.00","1426 - CONSERVAÇÃO, MANEJO E USO SUSTENTÁVEL DA AGROBIODIVERSIDADE",8949 - FOMENTO À CONSERVAÇÃO E USO SUSTENTÁVEL DE RECURSOS GENÉTICOS PARA AGRICULTURA E ALIMENTAÇÃO,"R$ 625,000.00","R$ 558,097.00","R$ 558,097.00"
3.8 Implantação e consolidação de Pólos Pioneiros de Produção Familiar Sustentável (Programa Proambiente). ,,MMA,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,6089 - FOMENTO A PROJETOS DE PREPARAÇÃO E EXECUÇÃO DOS PÓLOS DO PROAMBIENTE,R$ 0.00,R$ 0.00,R$ 0.00,"1426 - CONSERVAÇÃO, MANEJO E USO SUSTENTÁVEL DA AGROBIODIVERSIDADE",8998 - IMPLEMENTAÇÃO DOS PLANOS DE UTILIZAÇÃO DOS PÓLOS DO PROAMBIENTE EM ESCALA TERRITORIAL,"R$ 1,525,473.00","R$ 1,450,414.00","R$ 1,450,414.00"
3.8 Implantação e consolidação de Pólos Pioneiros de Produção Familiar Sustentável (Programa Proambiente). ,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,6394 - AVALIAÇÃO E VALIDAÇÃO CIENTÍFICA DAS INICIATIVAS INOVADORAS DE PRODUÇÃO RURAL,"R$ 919,000.00","R$ 917,273.00","R$ 916,981.00","1426 - CONSERVAÇÃO, MANEJO E USO SUSTENTÁVEL DA AGROBIODIVERSIDADE",,,,
3.8 Implantação e consolidação de Pólos Pioneiros de Produção Familiar Sustentável (Programa Proambiente). ,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,7621 - IMPLANTAÇÃO DE UNIDADES TERRITORIAIS DE GESTÃO AMBIENTAL RURAL (GESTAR),"R$ 1,131,252.00","R$ 1,071,128.00","R$ 1,071,128.00","1426 - CONSERVAÇÃO, MANEJO E USO SUSTENTÁVEL DA AGROBIODIVERSIDADE",8308 - IMPLANTAÇÃO DE UNIDADES TERRITORIAIS DE GESTÃO AMBIENTAL RURAL (GESTAR),"R$ 1,900,000.00","R$ 1,857,655.00","R$ 1,857,655.00"
3.9 Regulamentação da Gestão de Florestas Públicas ,,MMA,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,PPG7 – ProManejo/Comp 1. FAO TCP BRA 2082,0506 - NACIONAL DE FLORESTAS,2D12 - GERENCIAMENTO DE CONCESSÕES EM FLORESTAS PÚBLICAS,"R$ 8,230,304.00","R$ 3,955,656.00","R$ 3,955,656.00",0506 - NACIONAL DE FLORESTAS,8294 - ESTRUTURAÇÃO DOS ÓRGÃOS DO SISTEMA NACIONAL DE MEIO AMBIENTE PARA A GESTÃO FLORESTAL COMPARTILHADA,"R$ 3,299,805.00","R$ 2,250,457.00","R$ 2,250,457.00"
3.10 Apoio ao desenvolvimento sustentável da cadeia produtiva de madeira e móveis,,MDIC,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,0812- Programa Desenvolvimento. Cadeias Produtivas,0812 - COMPETITIVIDADE DAS CADEIAS PRODUTIVAS,2505 - INSERÇÃO DO DESIGN EM SETORES PRODUTIVOS,"R$ 750,000.00","R$ 707,278.00","R$ 707,278.00",0812 - COMPETITIVIDADE DAS CADEIAS PRODUTIVAS,2505 - INSERÇÃO DO DESIGN EM SETORES PRODUTIVOS,"R$ 450,000.00","R$ 300,000.00","R$ 300,000.00"
