Tipo,Objetivo Estratégico,AÇÕES ESTRATÉGICAS,Sub-atividade,RESPONSÁVEL,FUNAI,ICMBio,INCRA,INMETRO,MAPA,MCT,MDA,MDIC,MF,MMA,OEMAs,SFB,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2009,AUTORIZADO,EMPENHADO,LIQUIDADO,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2010,AUTORIZADO,EMPENHADO,LIQUIDADO,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2011,AUTORIZADO,EMPENHADO,LIQUIDADO
Ação Estratégica,"3.4 - Licenciamento Ambiental dos Assentamentos de Reforma Agrária, Manejo dos Recursos Naturais e Assistência Técnica e Extenção Rural",3.4.2 Manejo de Recursos Naturais em Projetos de Assentamentos de Reforma Agrária (Contratação de entidades para elaboração e/ou implantação de projetos de recuperaçãodas Áreas de Preservação Permanente (APP) e de reserva legal e para implementação de planos de manejo florestal sustentável),,OEMAs e INCRA,#VALUE!,#VALUE!,9,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,0137 - DESENVOLVIMENTO SUSTENTÁVEL DE PROJETOS DE ASSENTAMENTO,2B06 - MANEJO DE RECURSOS NATURAIS EM PROJETOS DE ASSENTAMENTO DE REFORMA AGRÁRIA,"R$ 31,290,107.00","R$ 17,548,640.00","R$ 17,548,640.00",0137 - DESENVOLVIMENTO SUSTENTÁVEL DE PROJETOS DE ASSENTAMENTO,2B06 - MANEJO DE RECURSOS NATURAIS EM PROJETOS DE ASSENTAMENTO DE REFORMA AGRÁRIA,"R$ 15,296,043.00","R$ 11,395,427.00","R$ 11,395,427.00",0137 - DESENVOLVIMENTO SUSTENTÁVEL DE PROJETOS DE ASSENTAMENTO,2B06 - MANEJO DE RECURSOS NATURAIS EM PROJETOS DE ASSENTAMENTO DE REFORMA AGRÁRIA,"R$ 15,000,000.00","R$ 4,615,197.00","R$ 4,615,197.00"
Ação Estratégica,"3.4 - Licenciamento Ambiental dos Assentamentos de Reforma Agrária, Manejo dos Recursos Naturais e Assistência Técnica e Extenção Rural",3.4.3 Fomento a Assitência Técnica e Extensão Rural (Prestação de Serviços de ATER e Capacitação de Agricultores Familiares nos Territórios da Cidadania),,OEMAs e INCRA,#VALUE!,#VALUE!,9,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,1427 - ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL NA AGRICULTURA FAMILIAR,4470 - ASSISTÊNCIA TÉCNICA E CAPACITAÇÃO DE ASSENTADOS,"R$ 202,389,217.00","R$ 112,106,999.00","R$ 112,106,999.00",1427 - ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL NA AGRICULTURA FAMILIAR,4470 - ASSISTÊNCIA TÉCNICA E CAPACITAÇÃO DE ASSENTADOS,"R$ 311,050,000.00","R$ 140,497,010.00","R$ 140,497,010.00",1427 - ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL NA AGRICULTURA FAMILIAR,4470 - ASSISTÊNCIA TÉCNICA E CAPACITAÇÃO DE ASSENTADOS,"R$ 218,964,000.00","R$ 159,674,907.00","R$ 159,674,907.00"
Ação Estratégica,"3.4 - Licenciamento Ambiental dos Assentamentos de Reforma Agrária, Manejo dos Recursos Naturais e Assistência Técnica e Extenção Rural",3.4.3 Fomento a Assitência Técnica e Extensão Rural (Prestação de Serviços de ATER e Capacitação de Agricultores Familiares nos Territórios da Cidadania),,OEMAs e INCRA,#VALUE!,#VALUE!,9,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,1427 - ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL NA AGRICULTURA FAMILIAR,4260 - FOMENTO À ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL PARA AGRICULTORES FAMILIARES,"R$ 259,752,520.00","R$ 246,285,227.00","R$ 246,285,227.00",1427 - ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL NA AGRICULTURA FAMILIAR,4260 - FOMENTO À ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL PARA AGRICULTORES FAMILIARES,"R$ 264,632,520.00","R$ 165,213,313.00","R$ 165,213,313.00",1427 - ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL NA AGRICULTURA FAMILIAR,4260 - FOMENTO À ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL PARA AGRICULTORES FAMILIARES,"R$ 160,864,071.00","R$ 158,747,913.00","R$ 158,747,913.00"
Ação Estratégica,"3.4 - Licenciamento Ambiental dos Assentamentos de Reforma Agrária, Manejo dos Recursos Naturais e Assistência Técnica e Extenção Rural",3.4.3 Fomento a Assitência Técnica e Extensão Rural (Prestação de Serviços de ATER e Capacitação de Agricultores Familiares nos Territórios da Cidadania),,OEMAs e INCRA,#VALUE!,#VALUE!,9,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,1427 - ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL NA AGRICULTURA FAMILIAR,2178 - ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL EM ÁREAS INDÍGENAS,"R$ 3,999,600.00","R$ 3,998,854.00","R$ 3,998,854.00",1427 - ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL NA AGRICULTURA FAMILIAR,2178 - ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL EM ÁREAS INDÍGENAS,"R$ 3,999,600.00","R$ 735,769.00","R$ 735,769.00",1427 - ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL NA AGRICULTURA FAMILIAR,2178 - ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL EM ÁREAS INDÍGENAS,"R$ 3,000,000.00","R$ 386,733.00","R$ 386,733.00"
Ação Estratégica,"3.4 - Licenciamento Ambiental dos Assentamentos de Reforma Agrária, Manejo dos Recursos Naturais e Assistência Técnica e Extenção Rural",3.4.3 Fomento a Assitência Técnica e Extensão Rural (Prestação de Serviços de ATER e Capacitação de Agricultores Familiares nos Territórios da Cidadania),,OEMAs e INCRA,#VALUE!,#VALUE!,9,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,"1426 - CONSERVAÇÃO, MANEJO E USO SUSTENTÁVEL DA AGROBIODIVERSIDADE","8450 - FOMENTO ÀS PRÁTICAS DE CONSERVAÇÃO, USO E MANEJO DA AGROBIODIVERSIDADE DESENVOLVIDAS POR AGRICULTORES FAMILIARES, POVOS E COMUNIDADES TRADICIONAIS","R$ 1,000,000.00","R$ 250,000.00","R$ 250,000.00","1426 - CONSERVAÇÃO, MANEJO E USO SUSTENTÁVEL DA AGROBIODIVERSIDADE","8450 - FOMENTO ÀS PRÁTICAS DE CONSERVAÇÃO, USO E MANEJO DA AGROBIODIVERSIDADE DESENVOLVIDAS POR AGRICULTORES FAMILIARES, POVOS E COMUNIDADES TRADICIONAIS","R$ 1,000,000.00","R$ 344,457.00","R$ 344,457.00","1426 - CONSERVAÇÃO, MANEJO E USO SUSTENTÁVEL DA AGROBIODIVERSIDADE","8450 - FOMENTO ÀS PRÁTICAS DE CONSERVAÇÃO, USO E MANEJO DA AGROBIODIVERSIDADE DESENVOLVIDAS POR AGRICULTORES FAMILIARES, POVOS E COMUNIDADES TRADICIONAIS","R$ 2,000,000.00","R$ 633,265.00","R$ 633,265.00"
Ação Estratégica,"3.4 - Licenciamento Ambiental dos Assentamentos de Reforma Agrária, Manejo dos Recursos Naturais e Assistência Técnica e Extenção Rural",3.4.4 Formação de agentes de Assistência Técnica e Extensão Rural (Formação de Extensionistas que atuam nos Territórios da Cidadania),,OEMAs e INCRA,#VALUE!,#VALUE!,9,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,1427 - ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL NA AGRICULTURA FAMILIAR,4448 - FORMAÇÃO DE AGENTES DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL,"R$ 7,175,000.00","R$ 5,322,265.00","R$ 5,322,265.00",1427 - ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL NA AGRICULTURA FAMILIAR,4448 - FORMAÇÃO DE AGENTES DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL,"R$ 19,230,000.00","R$ 10,681,072.00","R$ 10,681,072.00",1427 - ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL NA AGRICULTURA FAMILIAR,4448 - FORMAÇÃO DE AGENTES DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL,"R$ 9,200,000.00","R$ 7,899,251.00","R$ 7,899,251.00"
Ação Estratégica,3.5 - Apoio às Comunidades Extrativistas e Indígenas,3.5.1 Cadeias da sociobiodiversidade em nível nacional estruturadas,,"MMA, ICMBIO, FUNAI",14,6,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,3.5 - Apoio às Comunidades Extrativistas e Indígenas,"3.5.2 Formulação, Acopanhamento e Avaliação dos Instrumentos de Política Agrícola",,"MMA, ICMBIO, FUNAI",14,6,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,3.5 - Apoio às Comunidades Extrativistas e Indígenas,3.5.3 Consolidação de mercados institucionais para os Produtos da Sociobiodiversidade,,"MMA, ICMBIO, FUNAI",14,6,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,3.5 - Apoio às Comunidades Extrativistas e Indígenas,3.5.4 Estruturação das Cadeias da Sociobiodiversidade em nível local,,"MMA, ICMBIO, FUNAI",14,6,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,,,,,,,,,,,,,,,
